name,proddate,idno,cntry,trstlgl,trstplc,trstplt,trstsci,lrscale,gincdif,imwbcnt,ccrdprs
ESS10e03_3,2122025,12983,FI,8,9,0,9,7,2.5,9,10
ESS10e03_3,2122025,13003,FI,6,4,5,7,2,10.0,7,8
ESS10e03_3,2122025,13005,FI,9,9,5,9,8,2.5,7,7
ESS10e03_3,2122025,13012,FI,9,8,5,8,8,7.5,6,8
ESS10e03_3,2122025,13017,FI,10,10,6,9,9,7.5,5,4
ESS10e03_3,2122025,13019,FI,8,9,7,8,6,7.5,5,7
ESS10e03_3,2122025,13020,FI,10,10,,5,,5.0,,
ESS10e03_3,2122025,13031,FI,5,7,4,6,8,7.5,1,7
ESS10e03_3,2122025,13032,FI,9,10,6,8,5,10.0,5,6
ESS10e03_3,2122025,13039,FI,7,7,2,8,8,7.5,9,6
ESS10e03_3,2122025,13041,FI,9,9,4,9,8,2.5,4,5
ESS10e03_3,2122025,13103,FI,8,8,6,8,7,7.5,7,9
ESS10e03_3,2122025,13108,FI,8,10,6,8,8,7.5,6,7
ESS10e03_3,2122025,13117,FI,4,6,5,7,5,10.0,5,3
ESS10e03_3,2122025,13127,FI,8,10,5,6,,5.0,6,6
ESS10e03_3,2122025,13141,FI,7,3,6,8,1,10.0,8,9
ESS10e03_3,2122025,13142,FI,10,10,6,5,10,2.5,,5
ESS10e03_3,2122025,13165,FI,10,10,8,10,4,5.0,5,10
ESS10e03_3,2122025,13187,FI,7,7,6,6,5,7.5,5,5
ESS10e03_3,2122025,13192,FI,8,8,4,8,6,7.5,5,8
ESS10e03_3,2122025,13199,FI,9,9,7,6,6,7.5,6,9
ESS10e03_3,2122025,13232,FI,9,9,7,9,2,10.0,7,9
ESS10e03_3,2122025,13260,FI,8,9,7,8,8,7.5,4,7
ESS10e03_3,2122025,13282,FI,5,5,4,7,2,7.5,8,7
ESS10e03_3,2122025,13288,FI,8,8,3,7,7,5.0,7,10
ESS10e03_3,2122025,13298,FI,9,9,5,5,5,7.5,8,8
ESS10e03_3,2122025,13303,FI,9,9,7,7,10,5.0,5,6
ESS10e03_3,2122025,13334,FI,10,9,8,9,7,5.0,8,8
ESS10e03_3,2122025,13346,FI,4,8,0,9,1,2.5,0,2
ESS10e03_3,2122025,13350,FI,8,9,6,4,3,7.5,7,9
ESS10e03_3,2122025,13371,FI,8,9,7,8,3,7.5,9,10
ESS10e03_3,2122025,13373,FI,7,8,5,8,5,10.0,5,9
ESS10e03_3,2122025,13381,FI,9,8,5,7,4,7.5,5,8
ESS10e03_3,2122025,13384,FI,5,9,6,8,7,10.0,3,4
ESS10e03_3,2122025,13405,FI,9,9,8,9,3,7.5,8,8
ESS10e03_3,2122025,13408,FI,7,8,7,8,9,7.5,7,9
ESS10e03_3,2122025,13423,FI,10,10,6,9,9,2.5,5,7
ESS10e03_3,2122025,13427,FI,2,8,6,8,4,7.5,0,2
ESS10e03_3,2122025,13441,FI,4,9,3,9,5,7.5,5,1
ESS10e03_3,2122025,13443,FI,8,8,7,9,5,2.5,5,5
ESS10e03_3,2122025,13459,FI,7,8,6,9,3,7.5,8,10
ESS10e03_3,2122025,13464,FI,8,8,7,9,8,7.5,7,8
ESS10e03_3,2122025,13473,FI,8,9,7,9,5,10.0,4,8
ESS10e03_3,2122025,13485,FI,6,8,3,6,7,7.5,3,6
ESS10e03_3,2122025,13497,FI,9,8,6,9,7,7.5,9,8
ESS10e03_3,2122025,13500,FI,9,8,4,7,3,5.0,2,3
ESS10e03_3,2122025,13508,FI,6,6,5,5,3,7.5,3,7
