name,proddate,idno,cntry,trstlgl,trstplc,trstplt,trstsci,lrscale,gincdif,imwbcnt,ccrdprs
ESS10e03_3,2122025,11183,IT,8,9,3,10,6,7.5,5,8
ESS10e03_3,2122025,11205,IT,6,7,5,9,5,10.0,8,8
ESS10e03_3,2122025,11216,IT,5,10,0,10,9,10.0,7,4
ESS10e03_3,2122025,11218,IT,8,8,7,8,,7.5,1,10
ESS10e03_3,2122025,11222,IT,6,6,0,7,3,7.5,9,7
ESS10e03_3,2122025,11223,IT,9,9,6,9,4,0.0,5,7
ESS10e03_3,2122025,11232,IT,8,9,6,10,4,7.5,7,7
ESS10e03_3,2122025,11237,IT,4,7,3,5,,2.5,3,10
ESS10e03_3,2122025,11239,IT,4,5,2,6,7,7.5,2,5
ESS10e03_3,2122025,11250,IT,3,6,1,6,5,5.0,6,6
ESS10e03_3,2122025,11260,IT,10,10,4,8,6,7.5,4,6
ESS10e03_3,2122025,11266,IT,4,6,3,6,5,2.5,2,6
ESS10e03_3,2122025,11271,IT,7,7,5,6,4,10.0,,4
ESS10e03_3,2122025,11273,IT,6,6,4,6,5,7.5,5,4
ESS10e03_3,2122025,11274,IT,8,8,7,10,4,5.0,8,7
ESS10e03_3,2122025,11281,IT,5,6,6,7,7,10.0,3,3
ESS10e03_3,2122025,11284,IT,4,8,4,7,5,7.5,0,5
ESS10e03_3,2122025,11292,IT,0,3,0,3,,2.5,4,0
ESS10e03_3,2122025,11297,IT,3,5,2,9,6,7.5,6,4
ESS10e03_3,2122025,11298,IT,0,6,0,7,5,7.5,5,8
ESS10e03_3,2122025,11314,IT,5,6,1,9,7,7.5,5,5
ESS10e03_3,2122025,11321,IT,1,7,0,10,,10.0,3,7
ESS10e03_3,2122025,11344,IT,,2,0,0,10,7.5,0,4
ESS10e03_3,2122025,11353,IT,8,7,4,,5,7.5,6,7
ESS10e03_3,2122025,11360,IT,3,5,0,8,5,10.0,3,4
ESS10e03_3,2122025,11367,IT,5,6,1,8,6,10.0,5,6
ESS10e03_3,2122025,11368,IT,9,10,5,9,5,7.5,3,8
ESS10e03_3,2122025,11370,IT,4,8,5,9,8,7.5,6,9
ESS10e03_3,2122025,11372,IT,7,8,6,8,6,7.5,3,5
ESS10e03_3,2122025,11395,IT,5,7,5,8,6,7.5,4,4
ESS10e03_3,2122025,11400,IT,0,2,0,0,,7.5,1,0
ESS10e03_3,2122025,11402,IT,5,5,3,9,,0.0,7,8
ESS10e03_3,2122025,11421,IT,9,6,0,7,,10.0,5,8
ESS10e03_3,2122025,11424,IT,6,7,3,7,5,10.0,4,8
ESS10e03_3,2122025,11427,IT,8,8,7,9,8,10.0,4,8
ESS10e03_3,2122025,11431,IT,7,10,0,10,3,10.0,6,6
ESS10e03_3,2122025,11447,IT,5,6,4,8,5,7.5,3,7
ESS10e03_3,2122025,11450,IT,7,8,6,7,,5.0,8,7
ESS10e03_3,2122025,11466,IT,5,7,5,7,,10.0,7,10
ESS10e03_3,2122025,11469,IT,5,5,5,6,8,7.5,1,7
ESS10e03_3,2122025,11475,IT,4,9,1,10,5,7.5,4,8
ESS10e03_3,2122025,11487,IT,7,7,1,9,5,5.0,7,9
ESS10e03_3,2122025,11493,IT,6,6,4,8,3,7.5,5,6
ESS10e03_3,2122025,11495,IT,8,8,4,9,6,5.0,3,8
ESS10e03_3,2122025,11509,IT,7,8,4,3,5,,6,6
ESS10e03_3,2122025,11523,IT,6,6,,7,6,7.5,3,8
ESS10e03_3,2122025,11526,IT,1,2,0,4,,5.0,5,1
ESS10e03_3,2122025,11530,IT,6,7,4,5,8,2.5,4,7
ESS10e03_3,2122025,11542,IT,6,6,6,6,5,5.0,6,3
ESS10e03_3,2122025,11552,IT,7,7,2,2,,7.5,3,3
ESS10e03_3,2122025,11565,IT,9,10,6,9,5,2.5,5,1
ESS10e03_3,2122025,11569,IT,7,7,6,7,4,7.5,6,8
ESS10e03_3,2122025,11570,IT,8,9,6,8,9,,4,7
ESS10e03_3,2122025,11573,IT,5,9,1,9,5,7.5,1,5
ESS10e03_3,2122025,11582,IT,6,8,2,6,8,2.5,3,10
ESS10e03_3,2122025,11590,IT,1,6,4,7,,,0,0
ESS10e03_3,2122025,11598,IT,8,8,8,9,,5.0,7,8
ESS10e03_3,2122025,11600,IT,4,5,5,,,5.0,5,5
ESS10e03_3,2122025,11601,IT,9,8,5,9,,7.5,8,7
ESS10e03_3,2122025,11602,IT,6,8,5,9,4,5.0,7,8
ESS10e03_3,2122025,11629,IT,8,10,0,9,4,10.0,6,6
ESS10e03_3,2122025,11630,IT,4,8,5,9,7,5.0,4,7
ESS10e03_3,2122025,11633,IT,6,6,5,10,3,7.5,5,7
ESS10e03_3,2122025,11635,IT,2,0,0,6,5,5.0,4,4
ESS10e03_3,2122025,11642,IT,1,10,4,10,5,7.5,3,10
ESS10e03_3,2122025,11643,IT,3,3,3,8,3,7.5,2,5
ESS10e03_3,2122025,11647,IT,6,7,4,7,3,7.5,5,5
ESS10e03_3,2122025,11669,IT,4,6,2,8,4,10.0,2,8
