country,Source id,target id,Type,id,r,sign,Source label,Target label
netherlands,n2,n3,Undirected,133,0.102242947,positive,trstplt,trstsci
netherlands,n2,n4,Undirected,134,0.025524531,positive,trstplt,ccrdprs
netherlands,n2,n7,Undirected,135,0.094950221,positive,trstplt,imwbcnt
netherlands,n2,n8,Undirected,136,0.051739141,positive,trstplt,rlgdgr
netherlands,n3,n4,Undirected,137,0.087196961,positive,trstsci,ccrdprs
netherlands,n3,n6,Undirected,138,0.009160135,negative,trstsci,lrscale
netherlands,n3,n7,Undirected,139,0.032412302,positive,trstsci,imwbcnt
netherlands,n3,n8,Undirected,140,0.12179327,negative,trstsci,rlgdgr
netherlands,n4,n5,Undirected,141,0.058656149,positive,ccrdprs,gincdif
netherlands,n4,n6,Undirected,142,0.156944424,negative,ccrdprs,lrscale
netherlands,n4,n7,Undirected,143,0.094052047,positive,ccrdprs,imwbcnt
netherlands,n4,n8,Undirected,144,0.029676406,positive,ccrdprs,rlgdgr
netherlands,n5,n6,Undirected,145,0.282713532,negative,gincdif,lrscale
netherlands,n5,n7,Undirected,146,0.088956729,positive,gincdif,imwbcnt
netherlands,n6,n7,Undirected,147,0.157668233,negative,lrscale,imwbcnt
netherlands,n6,n8,Undirected,148,0.033570882,positive,lrscale,rlgdgr
netherlands,n7,n8,Undirected,149,0.018813863,positive,imwbcnt,rlgdgr
greece,n0,n1,Undirected,150,0.604542911,positive,trstlgl,trstplc
greece,n0,n2,Undirected,151,0.173642546,positive,trstlgl,trstplt
greece,n0,n3,Undirected,152,0.25528872,positive,trstlgl,trstsci
greece,n0,n7,Undirected,153,0.046278629,positive,trstlgl,imwbcnt
greece,n1,n2,Undirected,154,0.043007273,positive,trstplc,trstplt
greece,n1,n3,Undirected,155,0.257493317,positive,trstplc,trstsci
greece,n1,n4,Undirected,156,0.112502165,negative,trstplc,ccrdprs
greece,n1,n5,Undirected,157,0.04295348,negative,trstplc,gincdif
greece,n1,n6,Undirected,158,0.088310175,positive,trstplc,lrscale
greece,n1,n7,Undirected,159,0.017534848,negative,trstplc,imwbcnt
greece,n1,n8,Undirected,160,0.099426121,positive,trstplc,rlgdgr
greece,n2,n3,Undirected,161,0.011292783,positive,trstplt,trstsci
greece,n2,n4,Undirected,162,0.083310798,positive,trstplt,ccrdprs
greece,n2,n6,Undirected,163,0.169800073,positive,trstplt,lrscale
greece,n2,n7,Undirected,164,0.177994877,positive,trstplt,imwbcnt
greece,n3,n4,Undirected,165,0.097171724,positive,trstsci,ccrdprs
greece,n3,n5,Undirected,166,0.036712721,positive,trstsci,gincdif
greece,n3,n6,Undirected,167,0.016273921,negative,trstsci,lrscale
greece,n3,n7,Undirected,168,0.009047681,negative,trstsci,imwbcnt
greece,n4,n5,Undirected,169,0.009467689,negative,ccrdprs,gincdif
greece,n4,n6,Undirected,170,0.012238624,negative,ccrdprs,lrscale
greece,n4,n7,Undirected,171,0.138141125,positive,ccrdprs,imwbcnt
greece,n4,n8,Undirected,172,0.037829436,positive,ccrdprs,rlgdgr
greece,n5,n6,Undirected,173,0.064541839,negative,gincdif,lrscale
greece,n5,n7,Undirected,174,0.173601374,negative,gincdif,imwbcnt
greece,n6,n7,Undirected,175,0.117023326,negative,lrscale,imwbcnt
greece,n6,n8,Undirected,176,0.233238727,positive,lrscale,rlgdgr
greece,n7,n8,Undirected,177,0.126848057,negative,imwbcnt,rlgdgr
italy,n0,n1,Undirected,178,0.383043557,positive,trstlgl,trstplc
